Iter 0, Training Accuracy: 0.36833333373069765, Training Loss: 4.435241565108299, Testing Accuracy: 0.36466666907072065, Testing Loss: 4.435021445155144
Iter 1, Training Accuracy: 0.3456666707992554, Training Loss: 4.427610740065575, Testing Accuracy: 0.34466666653752326, Testing Loss: 4.431133881211281
Iter 2, Training Accuracy: 0.35899999886751177, Training Loss: 4.411785066127777, Testing Accuracy: 0.3493333324790001, Testing Loss: 4.410852625966072
Iter 3, Training Accuracy: 0.4463333338499069, Training Loss: 4.372182309627533, Testing Accuracy: 0.4376666650176048, Testing Loss: 4.37003618478775
Iter 4, Training Accuracy: 0.4469999983906746, Training Loss: 4.335796982049942, Testing Accuracy: 0.44933332949876786, Testing Loss: 4.31359438598156
Iter 5, Training Accuracy: 0.4323333352804184, Training Loss: 4.251459866762161, Testing Accuracy: 0.4409999966621399, Testing Loss: 4.281652495265007
Iter 6, Training Accuracy: 0.4653333336114883, Training Loss: 4.191855177283287, Testing Accuracy: 0.4536666661500931, Testing Loss: 4.217410817742348
Iter 7, Training Accuracy: 0.48499999940395355, Training Loss: 4.135719478130341, Testing Accuracy: 0.49200000166893004, Testing Loss: 4.143012642860413
Iter 8, Training Accuracy: 0.46600000709295275, Training Loss: 4.121322825551033, Testing Accuracy: 0.4469999998807907, Testing Loss: 4.158884137868881
Iter 9, Training Accuracy: 0.4809999972581863, Training Loss: 4.11097015440464, Testing Accuracy: 0.46466666609048846, Testing Loss: 4.103492304682732
Iter 10, Training Accuracy: 0.5113333344459534, Training Loss: 4.020082175731659, Testing Accuracy: 0.524333332479, Testing Loss: 4.005257308483124
Iter 11, Training Accuracy: 0.5323333337903022, Training Loss: 3.9312759786844254, Testing Accuracy: 0.5353333324193954, Testing Loss: 3.9494341760873795
Iter 12, Training Accuracy: 0.551000002026558, Training Loss: 3.8728179931640625, Testing Accuracy: 0.550666669011116, Testing Loss: 3.879029005765915
Iter 13, Training Accuracy: 0.5130000025033951, Training Loss: 3.949741452932358, Testing Accuracy: 0.5256666585803031, Testing Loss: 3.895200550556183
